period,open_funds_count,open_funds_assets,closed_funds_count,closed_funds_assets,total_funds_count,total_assets,local_shares,foreign_shares,local_bonds,foreign_bonds,local_funds,foreign_funds,local_other,foreign_other,local_real_estate,total_assets_by_type,active_funds_count,subscribers_count,local_assets_total,foreign_assets_total,grand_total_assets,local_pct,foreign_pct
2000-07-01,0.0,0.0,0.0,0.0,0.0,0.0,1485.465,7427.93,2046.0,254.49,7233.69,5050.772,6053.98,9671.11,0.0,39223.437,140,94075,18863.0,20360.0,39223.0,0.0,0.0
2000-10-01,0.0,0.0,0.0,0.0,0.0,0.0,1360.0,7697.0,7.0,193.0,7849.0,2064.0,7367.0,12019.0,0.0,38556.0,138,95800,16583.0,21973.0,38556.0,0.0,0.0
2001-01-01,0.0,0.0,0.0,0.0,0.0,0.0,1371.0,6396.0,8.0,181.0,9239.0,2210.0,9011.0,11616.0,0.0,40032.0,139,99251,19629.0,20403.0,40032.0,0.0,0.0
2001-04-01,0.0,0.0,0.0,0.0,0.0,0.0,2435.0,6669.0,8.0,180.0,11763.0,2967.0,11536.0,9863.0,0.0,45421.0,139,174639,25742.0,19679.0,45421.0,0.0,0.0
2001-07-01,0.0,0.0,0.0,0.0,0.0,0.0,2334.0,5440.0,8.0,181.0,12465.0,3147.0,12932.0,9273.0,0.0,45780.0,139,172550,27739.0,18041.0,45780.0,0.0,0.0
2001-10-01,0.0,0.0,0.0,0.0,0.0,0.0,2355.0,6844.0,7.0,180.0,13723.0,3999.0,14332.0,8619.0,0.0,50059.0,138,173999,30416.0,19643.0,50059.0,0.0,0.0
2002-01-01,0.0,0.0,0.0,0.0,0.0,0.0,2479.0,6793.0,7.4,184.0,14902.0,3614.0,15283.0,8913.0,0.0,52175.4,151,171360,32671.0,19504.0,52175.0,0.0,0.0
2002-04-01,0.0,0.0,0.0,0.0,0.0,0.0,2598.0,6012.0,7.0,196.0,16319.0,3483.0,15771.0,8045.0,0.0,52431.0,147,178166,34695.0,17737.0,52432.0,0.0,0.0
2002-07-01,0.0,0.0,0.0,0.0,0.0,0.0,2639.0,4882.0,14.0,144.0,16172.0,3337.0,15179.0,7586.0,0.0,49953.0,134,169040,34004.0,15949.0,49953.0,0.0,0.0
2002-10-01,0.0,0.0,0.0,0.0,0.0,0.0,2437.0,5339.0,10.4,122.3,15516.3,3397.5,14863.9,7139.9,0.0,48826.3,143,165044,32827.0,15998.9,48825.9,0.0,0.0
2003-01-01,0.0,0.0,0.0,0.0,0.0,0.0,3739.6,5587.7,9.1,125.3,15914.8,3387.0,14385.7,7079.4,0.0,50228.6,151,161998,34049.0,16180.0,50229.0,0.0,0.0
2003-04-01,0.0,0.0,0.0,0.0,0.0,0.0,4366.1,6463.1,7.7,147.4,16417.9,2976.5,15663.8,6506.1,0.0,52548.6,153,164467,36456.0,16093.0,52549.0,0.0,0.0
2003-07-01,0.0,0.0,0.0,0.0,0.0,0.0,4456.4,6914.4,9.1,136.5,16482.0,3268.7,15746.9,6345.5,0.0,53359.5,159,168484,36695.0,16665.0,53360.0,0.0,0.0
2003-10-01,166.0,53190.0,4.0,676.0,170.0,53866.0,4841.0,7638.0,7.0,134.0,15360.0,3105.0,17008.0,5773.0,0.0,53866.0,170,172197,37216.0,16650.0,53866.0,69.09,30.91
2004-01-01,168.0,53863.0,7.0,1352.0,175.0,55215.0,5764.0,8128.0,9.0,133.0,14440.0,2858.0,18401.0,5482.0,0.0,55215.0,175,171895,38614.0,16601.0,55215.0,69.93,30.07
2004-04-01,166.0,53694.0,7.0,1280.0,173.0,54974.0,6791.0,8258.0,19.0,146.0,12564.0,2674.0,19349.0,5173.0,0.0,54974.0,173,172693,38723.0,16251.0,54974.0,70.44,29.56
2004-07-01,175.0,55549.0,11.0,1589.0,186.0,57138.0,8924.0,8085.0,28.0,136.0,12102.0,2519.0,5270.0,20074.0,0.0,57138.0,186,184885,41128.0,16010.0,57138.0,71.98,28.02
2004-10-01,176.0,58741.0,12.0,1576.0,188.0,60317.0,14572.0,8461.0,27.0,128.0,10379.0,2276.0,19512.0,4962.0,0.0,60317.0,188,198357,44490.0,15827.0,60317.0,73.76,26.24
2005-01-01,176.0,67561.0,13.0,1578.0,189.0,69139.0,24025.0,8574.0,38.0,127.0,8986.0,2041.0,19886.0,5462.0,0.0,69139.0,189,221762,52935.0,16204.0,69139.0,76.56,23.44
2005-04-01,183.0,96484.0,13.0,1370.0,196.0,97854.0,55461.0,8988.0,30.0,101.0,7445.0,1810.0,18755.0,5264.0,0.0,97854.0,196,406240,81691.0,16163.0,97854.0,83.48,16.52
2005-07-01,184.0,112369.0,13.0,1477.0,197.0,113846.0,71588.0,9516.0,27.0,90.0,6711.0,1762.0,18782.0,5370.0,0.0,113846.0,197,488963,97108.0,16738.0,113846.0,85.3,14.7
2005-10-01,188.0,135838.0,11.0,1136.0,199.0,136974.0,89444.0,14667.0,20.0,79.0,6501.0,1607.0,19696.0,4960.0,0.0,136974.0,199,568284,115661.0,21313.0,136974.0,84.44,15.56
2006-01-01,0.0,0.0,0.0,0.0,201.0,141719.0,91368.0,13667.0,1820.0,168.0,21527.0,2820.0,6400.0,3949.0,0.0,141719.0,201,680629,121115.0,20604.0,141719.0,85.46,14.54
